160,5,4,50,44,1
2863,1,1,0,0,1
192,2,0,0,0,0
3377,0,0,0,6,1
1182,2,3,0,20,1
311,3,3,0,0,1
3987,5,5,0,0,1
2556,2,2,77,65,1
556,5,2,1,0,1
1744,2,2,28,14,1
1235,4,1,29,19,1
325,2,5,18,7,0
1009,5,5,0,0,1
451,1,1,117,113,1
925,2,2,10,0,1
83,3,4,5,2,0
728,2,5,2,0,0
1075,5,4,0,0,1
1927,3,4,0,0,0
3799,5,5,8,0,1
612,4,4,21,49,1
1437,3,4,0,0,0
302,1,2,0,0,0
1428,4,4,0,0,1
528,4,3,0,0,0
710,3,5,0,0,0
3680,4,1,0,0,1
1521,4,1,3,13,1
1543,3,5,0,0,1
235,4,3,0,0,0
1235,1,5,0,0,0
308,2,3,0,0,1
624,2,3,0,0,0
1846,4,5,40,68,0
192,5,2,0,1,1
674,3,4,80,70,0
370,3,3,10,12,1
3169,1,1,73,68,1
802,4,4,0,10,0
628,1,4,4,0,0
373,3,3,0,0,0
725,4,4,0,4,1
277,3,3,116,177,0
1024,1,1,0,3,1
267,2,3,59,55,0
550,5,1,92,90,1
1889,2,2,0,0,1
460,2,5,4,2,0
3295,4,4,0,4,1
1205,2,4,0,0,0
990,3,5,0,0,0
444,4,0,20,32,1
520,4,2,17,0,1
321,2,3,0,0,0
651,3,3,0,0,1
764,3,3,30,46,0
566,3,3,0,0,1
626,3,4,0,0,0
130,3,0,3,4,0
331,2,0,0,0,0
158,3,3,66,57,1
1829,1,4,0,0,0
646,3,2,0,3,0
404,4,1,9,6,1
2738,5,5,0,0,1
964,1,5,6,0,0
1660,2,2,0,0,0
872,2,3,14,0,0
1898,5,5,49,47,1
967,2,2,44,40,1
1242,3,4,3,0,0
1042,3,2,0,0,0
153,3,5,0,0,0
366,3,3,5,24,1
913,1,2,0,0,0
528,2,5,0,0,0
1172,2,3,28,27,0
999,2,4,0,0,0
489,2,2,0,0,0
692,1,1,0,0,0
1585,2,2,24,20,1
140,2,4,0,0,0
2729,3,3,44,52,1
1400,3,5,1,0,0
447,2,2,7,0,0
334,2,1,5,0,0
158,1,2,24,20,0
3696,1,1,9,0,1
846,1,4,9,17,0
329,1,0,0,0,0
2580,3,3,0,11,1
84,3,5,0,34,0
3358,3,3,0,0,1
308,2,1,83,95,0
912,1,1,5,0,1
406,3,4,0,0,0
397,2,5,0,0,0
2409,3,3,0,0,1
545,2,2,0,0,0
2419,2,2,0,0,0
1061,2,2,13,0,0
899,2,5,0,0,0
293,4,4,5,0,1
1085,3,5,0,0,0
2475,5,5,0,0,1
2544,5,5,62,66,1
2556,4,4,117,113,1
237,3,4,0,2,0
1120,3,5,16,13,0
2668,5,5,2,0,1
1660,4,1,0,7,0
1310,2,2,0,24,0
2374,5,5,0,0,1
209,3,4,0,0,0
305,3,4,5,2,0
247,2,1,16,6,0
338,3,4,0,0,0
3200,1,1,0,0,1
1368,3,4,0,0,0
1999,4,5,0,4,1
680,0,5,0,0,1
537,2,2,0,0,1
288,5,1,29,40,1
639,2,1,0,11,0
201,3,5,3,8,0
213,3,5,0,17,0
1096,2,2,0,0,0
1680,3,1,27,10,0
2401,2,2,94,86,1
2746,2,2,0,0,1
89,3,4,0,0,0
192,2,4,5,8,0
404,3,3,0,0,0
546,4,4,93,88,0
2400,4,3,0,0,1
599,2,2,0,46,0
2342,3,3,10,0,0
3046,5,5,0,0,1
516,2,4,0,0,0
759,3,3,2,1,0
1400,2,1,0,0,0
491,3,3,0,0,1
134,3,3,8,3,0
900,5,5,5,0,1
3648,2,2,0,0,1
3769,3,1,180,178,0
563,4,4,0,0,1
3131,1,1,0,0,1
631,3,5,0,0,0
351,4,3,0,0,1
1189,5,5,9,0,1
562,5,5,0,0,1
1874,4,3,86,78,1
158,4,0,0,0,1
95,5,3,0,0,1
266,1,1,0,0,1
449,1,4,0,0,0
1416,3,4,0,0,0
2388,2,2,29,18,1
1678,1,1,0,0,1
1972,5,5,0,0,1
337,4,1,0,0,1
253,3,3,0,0,0
212,5,3,82,72,1
342,1,1,32,41,0
3556,2,2,0,0,1
191,4,4,16,12,0
693,3,1,100,91,0
641,5,5,0,0,1
471,4,5,0,0,0
3823,2,2,1,0,1
282,4,5,9,1,1
544,3,5,0,0,0
2955,3,3,0,0,1
2806,1,1,0,4,1
587,3,4,0,0,0
2073,3,3,6,0,1
1249,3,4,25,6,0
284,3,5,34,35,0
946,2,2,2,0,0
3947,3,4,25,16,0
895,4,5,40,25,1
1634,3,2,90,77,0
588,2,1,0,0,0
2533,5,5,0,0,1
641,3,4,0,0,0
581,4,4,1,3,0
223,2,2,0,0,0
326,0,0,0,0,1
599,3,1,0,0,0
2075,5,5,0,0,1
964,5,5,1,3,1
599,1,4,8,0,0
3138,1,1,0,0,1
251,1,5,0,4,0
1119,1,5,0,0,0
337,4,0,0,0,1
759,2,2,23,94,0
2344,2,2,0,0,1
296,0,0,0,0,1
1005,1,4,168,163,0
580,3,3,18,16,1
359,1,3,0,0,0
1217,0,4,0,0,1
384,4,5,96,102,1
2586,3,5,45,42,0
2903,2,1,0,1,0
3170,5,5,16,0,1
1276,2,2,35,49,0
825,4,4,0,4,1
2204,5,5,6,0,1
3464,1,1,0,0,1
562,5,3,0,0,1
404,5,1,0,0,1
1199,4,2,0,15,0
1968,4,4,0,0,0
2560,5,5,0,3,1
308,4,2,0,0,1
362,4,4,0,0,0
1562,3,3,2,25,0
129,1,0,13,9,0
591,2,4,0,0,0
3692,2,2,0,0,1
1859,1,1,16,15,1
986,2,1,24,32,0
1024,1,1,13,11,0
919,3,4,85,72,0
576,4,2,0,0,1
423,3,3,6,13,0
1416,5,2,1,0,1
1464,3,2,0,0,0
715,4,4,11,4,1
541,2,2,86,85,1
293,3,3,3,0,0
2092,2,3,26,23,0
1053,4,4,34,15,0
2521,1,1,0,2,0
2544,3,1,0,0,0
158,4,4,0,0,0
1741,1,1,0,0,1
2651,4,4,10,0,1
760,3,5,102,88,0
1036,1,5,12,9,0
2586,1,3,0,0,0
1081,1,1,4,0,0
646,2,4,1,0,0
308,1,3,0,0,0
227,4,5,0,0,1
1754,3,3,33,28,0
2176,2,3,5,0,1
271,0,0,0,0,1
1522,3,2,0,0,1
325,5,5,0,0,1
3217,2,2,19,16,1
